,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Retour au menu ""Films en salles""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Films en première exclusivité en salles selon la nationalité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nombre de films,France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
2001,"2,129.4","1,556.0",480.5,92.8,"2,264.2",56.6,0.5,12.3,26.1,254.7,0.0,0.1,13.3,,,1.0,0.1,13.3,0.2,0.1,0.0,0.7,14.2,,,,,1.2,4.5,0.8,163.8,"4,956.9"
2002,"1,885.4","1,336.9",413.5,135.0,"2,526.2",49.3,2.4,,85.2,256.6,,1.0,18.7,3.8,,,2.2,0.6,0.6,1.8,3.3,0.2,1.2,,,,0.0,1.8,3.4,0.3,197.9,"5,041.9"
2003,"2,198.7","1,414.1",635.6,148.9,"2,548.9",46.9,0.2,6.6,26.5,215.4,,,26.7,0.9,,,4.5,2.0,0.4,0.4,0.1,0.4,0.5,,,,0.1,0.0,1.6,0.0,241.5,"5,322.4"
2004,"2,365.6","1,202.6","1,099.2",63.8,"2,510.7",64.9,4.9,3.7,53.4,316.1,,,10.7,,,2.1,1.0,0.2,0.5,0.2,0.2,0.6,2.0,0.1,,0.0,0.2,0.2,2.8,0.2,212.4,"5,552.6"
2005,"2,312.7","1,509.9",649.9,152.9,"2,350.4",45.3,0.3,8.5,18.8,628.6,,2.5,27.8,,,,10.6,,0.9,0.0,0.3,9.4,36.8,,,2.5,1.6,3.1,30.2,1.4,63.2,"5,554.8"
2006,"2,587.4","1,707.1",685.5,194.8,"2,492.6",33.6,3.0,4.0,102.4,352.3,0.0,1.6,15.0,6.0,0.0,0.0,0.0,0.0,0.5,11.9,0.6,19.5,31.7,12.9,3.3,0.0,2.0,1.3,36.9,0.2,65.1,"5,783.8"
2007,"2,410.5","1,725.4",467.4,217.7,"2,510.9",74.7,1.0,2.7,15.2,501.2,0.0,4.0,4.4,0.8,0.0,0.0,1.1,0.0,1.1,2.3,1.6,17.8,47.0,11.9,0.0,0.0,0.0,0.4,24.5,4.2,73.6,"5,710.8"
2008,"2,718.5","1,977.0",584.1,157.3,"2,599.4",57.3,10.1,0.2,117.6,326.1,0.0,3.5,51.2,0.0,1.5,0.7,5.3,1.9,1.9,15.5,9.8,23.2,6.9,7.7,0.0,0.0,0.0,5.1,7.5,1.7,79.1,"6,051.6"
2009,"2,638.4","1,765.0",714.0,159.4,"2,763.4",68.2,0.3,0.7,94.2,345.0,1.2,0.8,14.6,0.0,1.7,0.5,1.1,47.9,0.8,52.4,5.9,7.3,17.9,7.8,0.0,19.7,0.3,8.9,62.0,1.9,46.0,"6,208.9"
2010,"2,593.7","1,849.2",493.4,251.2,"2,673.0",21.8,43.9,5.1,103.7,626.8,0.3,3.0,28.4,0.0,1.5,0.0,7.2,24.3,1.5,26.8,1.3,8.5,3.1,19.3,4.4,0.0,1.5,0.3,9.4,5.3,30.4,"6,244.4"
2011,"2,801.5","1,838.7",692.2,270.6,"2,831.6",56.1,1.5,6.5,111.7,415.8,1.0,4.1,21.3,0.0,4.5,0.0,2.5,5.3,2.8,47.3,1.8,0.7,15.8,5.1,0.6,0.0,0.6,33.4,48.7,2.0,39.4,"6,462.0"
2012,"2,945.7","1,901.7",763.1,281.0,"2,644.7",21.8,12.0,16.5,46.8,503.1,0.0,1.5,38.3,0.6,1.0,1.6,11.2,0.3,2.3,18.4,1.1,46.6,3.5,6.6,13.9,0.0,1.8,5.9,39.1,7.6,75.6,"6,467.2"
2013,"2,729.8","1,780.3",751.7,197.8,"3,087.9",64.9,22.4,37.8,76.3,274.6,8.9,0.7,8.4,1.7,0.0,0.0,0.4,2.9,6.5,47.8,0.8,61.9,21.8,21.9,0.0,0.0,0.8,0.0,25.8,3.1,107.3,"6,614.6"
2014,"3,269.2","2,270.8",764.2,234.2,"2,959.0",80.8,6.6,15.2,18.2,296.4,0.0,1.2,13.8,0.1,21.7,0.0,8.7,16.6,9.0,20.0,15.8,35.4,17.9,4.5,0.0,0.0,3.6,0.1,48.6,4.6,115.9,"6,983.1"
2015,"2,898.0","1,959.7",667.2,271.1,"3,118.8",97.8,0.8,6.8,31.0,545.1,0.0,1.1,19.6,3.7,0.0,1.4,6.5,2.0,2.7,90.1,13.1,17.3,6.0,5.9,0.0,0.0,7.6,27.6,51.5,0.0,90.8,"7,045.3"
2016,"3,021.0","1,822.5",855.5,343.0,"3,430.3",97.0,28.5,26.6,80.5,429.0,0.0,6.6,9.0,1.0,0.0,0.7,2.5,1.6,0.7,3.3,15.9,33.8,3.8,31.4,0.8,0.0,14.8,4.6,15.5,2.3,70.6,"7,331.5"
2017,"3,389.1","2,588.4",634.6,166.1,"2,951.2",20.5,35.5,10.8,58.5,722.5,0.7,5.6,13.4,3.1,4.6,0.3,1.2,27.8,3.9,55.1,0.2,9.4,1.7,44.0,0.6,0.4,1.8,7.0,51.2,7.6,83.5,"7,511.2"
2018,"3,343.9","2,589.1",463.0,291.8,"2,989.8",95.8,22.9,33.1,87.2,745.4,0.1,9.4,30.6,2.7,0.6,0.0,17.2,3.1,5.6,10.1,0.5,16.8,24.1,18.1,3.1,0.0,3.4,19.1,63.6,0.8,113.2,"7,660.2"
2019,"3,368.7","2,496.5",639.5,232.7,"3,485.9",78.6,51.4,8.9,65.7,442.8,0.0,31.0,18.1,2.5,1.1,0.0,16.3,14.3,14.1,0.6,9.3,55.5,8.9,64.5,0.4,0.0,3.7,1.0,66.5,2.5,61.7,"7,874.0"
2020,"1,946.0","1,369.3",405.2,171.4,"1,122.3",34.5,0.6,59.4,12.7,208.0,0.1,2.5,10.1,0.1,30.8,0.0,2.7,0.0,0.8,16.0,0.3,17.2,27.2,67.5,0.0,0.0,0.9,0.0,37.5,1.6,38.1,"3,636.9"
*résultats enregistrés lors de leur année de sortie en salles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
